3271,low fat yogurt,,,,,,,,,,,,,,,,,,,
5596,spaghetti,mineral water,soup,,,,,,,,,,,,,,,,,
6432,parmesan cheese,chicken,magazines,,,,,,,,,,,,,,,,,
1811,ground beef,,,,,,,,,,,,,,,,,,,
5201,french fries,protein bar,,,,,,,,,,,,,,,,,,
4633,frozen vegetables,ground beef,spaghetti,mineral water,muffins,rice,green beans,french fries,hot dogs,,,,,,,,,,,
2488,fresh tuna,frozen vegetables,tomatoes,parmesan cheese,whole wheat pasta,spaghetti,soup,avocado,milk,eggs,cooking oil,honey,yogurt cake,protein bar,fresh bread,magazines,,,,
5502,spaghetti,eggs,,,,,,,,,,,,,,,,,,
1564,tomatoes,,,,,,,,,,,,,,,,,,,
3429,butter,escalope,shallot,white wine,,,,,,,,,,,,,,,,
1407,mineral water,soup,bacon,cake,light cream,eggplant,brownies,,,,,,,,,,,,,
4424,burgers,ham,chocolate,,,,,,,,,,,,,,,,,
2146,grated cheese,,,,,,,,,,,,,,,,,,,
6466,herb & pepper,mineral water,eggs,green tea,,,,,,,,,,,,,,,,
5748,champagne,pancakes,green tea,,,,,,,,,,,,,,,,,
2021,tomatoes,ground beef,spaghetti,mineral water,milk,,,,,,,,,,,,,,,
186,turkey,spaghetti,milk,whole wheat rice,chocolate,,,,,,,,,,,,,,,
5286,soup,clothes accessories,escalope,,,,,,,,,,,,,,,,,
1413,burgers,ground beef,spaghetti,mineral water,soup,milk,french wine,honey,,,,,,,,,,,,
3242,nonfat milk,eggs,cake,,,,,,,,,,,,,,,,,
3268,grated cheese,butter,chocolate,french fries,,,,,,,,,,,,,,,,
3035,french wine,,,,,,,,,,,,,,,,,,,
3423,burgers,whole wheat rice,cooking oil,escalope,,,,,,,,,,,,,,,,
6088,cake,carrots,cookies,,,,,,,,,,,,,,,,,
6105,herb & pepper,pepper,spaghetti,eggs,,,,,,,,,,,,,,,,
6863,burgers,black tea,eggs,cookies,,,,,,,,,,,,,,,,
7221,red wine,spaghetti,,,,,,,,,,,,,,,,,,
3939,frozen vegetables,tomatoes,parmesan cheese,mineral water,,,,,,,,,,,,,,,,
3886,turkey,eggs,white wine,green tea,,,,,,,,,,,,,,,,
7464,eggs,french fries,brownies,low fat yogurt,,,,,,,,,,,,,,,,
3194,french fries,escalope,,,,,,,,,,,,,,,,,,
1820,grated cheese,herb & pepper,spaghetti,french wine,chicken,eggs,whole wheat rice,fresh bread,,,,,,,,,,,,
7284,frozen vegetables,mineral water,soup,avocado,cake,french fries,champagne,tomato juice,green tea,,,,,,,,,,,
7419,low fat yogurt,,,,,,,,,,,,,,,,,,,
221,shrimp,mineral water,soup,black tea,,,,,,,,,,,,,,,,
5543,melons,,,,,,,,,,,,,,,,,,,
2288,chocolate,spaghetti,mineral water,milk,salmon,green tea,escalope,mushroom cream sauce,,,,,,,,,,,,
3821,strawberries,,,,,,,,,,,,,,,,,,,
2800,cookies,,,,,,,,,,,,,,,,,,,
2653,spaghetti,soup,milk,butter,whole wheat rice,chocolate,low fat yogurt,green tea,,,,,,,,,,,,
6928,eggs,escalope,,,,,,,,,,,,,,,,,,
4599,red wine,chicken,whole wheat rice,,,,,,,,,,,,,,,,,
2070,eggs,frozen smoothie,cottage cheese,low fat yogurt,,,,,,,,,,,,,,,,
2531,soup,,,,,,,,,,,,,,,,,,,
4883,turkey,burgers,eggs,whole wheat rice,french fries,green tea,,,,,,,,,,,,,,
3114,spaghetti,honey,low fat yogurt,,,,,,,,,,,,,,,,,
2330,cookies,hot dogs,,,,,,,,,,,,,,,,,,
6729,eggs,,,,,,,,,,,,,,,,,,,
6807,turkey,parmesan cheese,milk,green tea,chocolate,,,,,,,,,,,,,,,
632,shrimp,frozen vegetables,parmesan cheese,milk,eggs,cooking oil,chocolate,french fries,,,,,,,,,,,,
1319,muffins,,,,,,,,,,,,,,,,,,,
3338,fresh tuna,soup,avocado,energy bar,butter,chicken,whole wheat rice,barbecue sauce,whole weat flour,,,,,,,,,,,
4759,shrimp,soup,milk,low fat yogurt,,,,,,,,,,,,,,,,
616,soup,,,,,,,,,,,,,,,,,,,
4701,turkey,herb & pepper,mineral water,,,,,,,,,,,,,,,,,
2676,burgers,herb & pepper,mineral water,cake,,,,,,,,,,,,,,,,
2766,fresh tuna,ham,whole wheat pasta,spaghetti,mineral water,chocolate,milk,fromage blanc,strong cheese,honey,cooking oil,energy drink,,,,,,,,
5909,olive oil,,,,,,,,,,,,,,,,,,,
1387,shrimp,spaghetti,mineral water,cooking oil,escalope,low fat yogurt,,,,,,,,,,,,,,
5260,grated cheese,spaghetti,soup,olive oil,whole wheat rice,oil,chicken,ketchup,hot dogs,,,,,,,,,,,
2373,mineral water,salmon,,,,,,,,,,,,,,,,,,
7141,turkey,red wine,ground beef,mineral water,milk,whole wheat rice,pancakes,,,,,,,,,,,,,
5599,escalope,,,,,,,,,,,,,,,,,,,
1448,eggs,,,,,,,,,,,,,,,,,,,
1347,green tea,,,,,,,,,,,,,,,,,,,
1061,french fries,,,,,,,,,,,,,,,,,,,
4804,ground beef,mineral water,french wine,chocolate bread,chocolate,frozen smoothie,,,,,,,,,,,,,,
1271,ham,pepper,spaghetti,strawberries,white wine,,,,,,,,,,,,,,,
1410,eggs,french fries,,,,,,,,,,,,,,,,,,
1619,escalope,,,,,,,,,,,,,,,,,,,
1983,mineral water,honey,,,,,,,,,,,,,,,,,,
2156,ground beef,cake,,,,,,,,,,,,,,,,,,
3143,french fries,cookies,,,,,,,,,,,,,,,,,,
2423,red wine,spaghetti,cooking oil,chicken,extra dark chocolate,whole weat flour,frozen smoothie,strawberries,energy drink,,,,,,,,,,,
2492,tomatoes,soda,hot dogs,body spray,energy drink,,,,,,,,,,,,,,,
7382,green tea,chocolate,cookies,fresh bread,,,,,,,,,,,,,,,,
1445,spaghetti,olive oil,cake,mushroom cream sauce,,,,,,,,,,,,,,,,
3222,eggs,,,,,,,,,,,,,,,,,,,
6304,flax seed,green tea,,,,,,,,,,,,,,,,,,
7029,strawberries,fresh bread,,,,,,,,,,,,,,,,,,
559,eggs,,,,,,,,,,,,,,,,,,,
5503,burgers,spaghetti,eggs,cookies,green tea,,,,,,,,,,,,,,,
4664,mineral water,eggs,cookies,strawberries,,,,,,,,,,,,,,,,
1199,chicken,rice,oatmeal,whole weat flour,green tea,french fries,pancakes,,,,,,,,,,,,,
5724,turkey,fresh tuna,avocado,milk,fromage blanc,honey,cake,french fries,,,,,,,,,,,,
5407,energy bar,,,,,,,,,,,,,,,,,,,
5429,melons,,,,,,,,,,,,,,,,,,,
3617,green tea,french fries,brownies,,,,,,,,,,,,,,,,,
3047,milk,olive oil,salmon,bug spray,rice,extra dark chocolate,french fries,champagne,frozen smoothie,,,,,,,,,,,
6646,tomatoes,flax seed,escalope,mushroom cream sauce,pancakes,green tea,,,,,,,,,,,,,,
4390,escalope,,,,,,,,,,,,,,,,,,,
1341,burgers,honey,escalope,,,,,,,,,,,,,,,,,
4091,burgers,cottage cheese,,,,,,,,,,,,,,,,,,
1621,ground beef,chocolate,mint,,,,,,,,,,,,,,,,,
627,ground beef,spaghetti,french fries,green tea,,,,,,,,,,,,,,,,
6283,soup,,,,,,,,,,,,,,,,,,,
6624,parmesan cheese,,,,,,,,,,,,,,,,,,,
6174,shrimp,frozen vegetables,ground beef,vegetables mix,nonfat milk,chocolate,,,,,,,,,,,,,,
521,turkey,fresh tuna,mineral water,milk,eggs,cake,burger sauce,chicken,french fries,frozen smoothie,fresh bread,,,,,,,,,
39,spaghetti,,,,,,,,,,,,,,,,,,,
2399,chocolate,herb & pepper,tomatoes,whole wheat pasta,spaghetti,mineral water,olive oil,vegetables mix,pancakes,hot dogs,,,,,,,,,,
3725,frozen vegetables,ground beef,spaghetti,olive oil,strong cheese,eggs,,,,,,,,,,,,,,
6378,burgers,energy bar,whole wheat rice,cake,,,,,,,,,,,,,,,,
4360,eggs,whole wheat rice,,,,,,,,,,,,,,,,,,
4033,shrimp,tomatoes,carrots,chocolate,low fat yogurt,,,,,,,,,,,,,,,
2892,tomatoes,whole wheat pasta,,,,,,,,,,,,,,,,,,
5910,oil,,,,,,,,,,,,,,,,,,,
5642,brownies,,,,,,,,,,,,,,,,,,,
6825,mineral water,chocolate,escalope,,,,,,,,,,,,,,,,,
3662,grated cheese,antioxydant juice,low fat yogurt,,,,,,,,,,,,,,,,,
7112,tomatoes,mineral water,chicken,eggs,pancakes,,,,,,,,,,,,,,,
2186,ham,herb & pepper,pepper,champagne,white wine,,,,,,,,,,,,,,,
592,soup,escalope,mint,,,,,,,,,,,,,,,,,
5853,burgers,shrimp,pepper,spaghetti,mineral water,almonds,chicken,bug spray,low fat yogurt,,,,,,,,,,,
2379,cookies,,,,,,,,,,,,,,,,,,,
3551,eggs,extra dark chocolate,french fries,,,,,,,,,,,,,,,,,
4489,french fries,strawberries,,,,,,,,,,,,,,,,,,
168,pepper,french fries,strawberries,pancakes,low fat yogurt,,,,,,,,,,,,,,,
613,spaghetti,chicken,tea,pancakes,gluten free bar,,,,,,,,,,,,,,,
7283,salmon,nonfat milk,,,,,,,,,,,,,,,,,,
5489,shrimp,frozen vegetables,honey,frozen smoothie,fresh bread,green tea,,,,,,,,,,,,,,
2785,milk,salmon,fresh bread,low fat yogurt,mint,,,,,,,,,,,,,,,
7157,turkey,milk,pancakes,,,,,,,,,,,,,,,,,
4431,dessert wine,frozen vegetables,spaghetti,,,,,,,,,,,,,,,,,
4770,burgers,mineral water,cider,bacon,eggs,cake,carrots,chocolate,green tea,,,,,,,,,,,
2415,cake,chicken,barbecue sauce,strawberries,green tea,,,,,,,,,,,,,,,
941,spaghetti,chicken,,,,,,,,,,,,,,,,,,
2040,yams,fromage blanc,salmon,chocolate,frozen smoothie,light mayo,,,,,,,,,,,,,,
7437,milk,,,,,,,,,,,,,,,,,,,
5861,mineral water,eggs,whole wheat rice,cooking oil,,,,,,,,,,,,,,,,
1733,meatballs,yogurt cake,,,,,,,,,,,,,,,,,,
6055,frozen vegetables,milk,cider,whole wheat rice,,,,,,,,,,,,,,,,
696,turkey,shrimp,frozen vegetables,eggs,,,,,,,,,,,,,,,,
3467,red wine,frozen vegetables,milk,salmon,pancakes,eggs,ham,cereals,french fries,champagne,,,,,,,,,,
6247,cookies,mushroom cream sauce,,,,,,,,,,,,,,,,,,
1031,spinach,chocolate,french fries,,,,,,,,,,,,,,,,,
5031,burgers,chocolate,,,,,,,,,,,,,,,,,,
103,ground beef,energy bar,pet food,carrots,protein bar,,,,,,,,,,,,,,,
7,frozen vegetables,spaghetti,green tea,,,,,,,,,,,,,,,,,
6757,eggs,french fries,,,,,,,,,,,,,,,,,,
1357,mineral water,,,,,,,,,,,,,,,,,,,
1926,french fries,,,,,,,,,,,,,,,,,,,
2846,french fries,,,,,,,,,,,,,,,,,,,
3038,milk,,,,,,,,,,,,,,,,,,,
6196,grated cheese,,,,,,,,,,,,,,,,,,,
3479,herb & pepper,shrimp,frozen vegetables,mineral water,milk,cooking oil,barbecue sauce,green beans,fresh bread,,,,,,,,,,,
3867,shrimp,mineral water,milk,olive oil,eggs,,,,,,,,,,,,,,,
7293,chocolate,cottage cheese,pancakes,,,,,,,,,,,,,,,,,
233,spaghetti,meatballs,vegetables mix,chocolate,,,,,,,,,,,,,,,,
5615,frozen vegetables,,,,,,,,,,,,,,,,,,,
5338,avocado,cider,cake,french fries,melons,,,,,,,,,,,,,,,
6682,burgers,mineral water,soup,escalope,,,,,,,,,,,,,,,,
5280,burgers,spaghetti,soup,milk,black tea,whole wheat rice,frozen smoothie,strawberries,,,,,,,,,,,,
2890,escalope,pancakes,energy drink,,,,,,,,,,,,,,,,,
4989,pepper,spaghetti,french fries,frozen smoothie,,,,,,,,,,,,,,,,
7139,parmesan cheese,cake,green tea,,,,,,,,,,,,,,,,,
1143,shrimp,tomatoes,parmesan cheese,whole wheat pasta,black tea,eggs,oil,green tea,,,,,,,,,,,,
2457,green tea,,,,,,,,,,,,,,,,,,,
2891,mineral water,cake,light cream,bug spray,burger sauce,,,,,,,,,,,,,,,
768,grated cheese,frozen vegetables,parmesan cheese,french wine,french fries,fresh bread,green tea,,,,,,,,,,,,,
3182,herb & pepper,tomatoes,ground beef,mineral water,milk,light cream,clothes accessories,cookies,,,,,,,,,,,,
96,muffins,eggs,cookies,,,,,,,,,,,,,,,,,
7385,cookies,,,,,,,,,,,,,,,,,,,
6947,spaghetti,,,,,,,,,,,,,,,,,,,
7058,fresh bread,,,,,,,,,,,,,,,,,,,
6656,gums,escalope,mushroom cream sauce,,,,,,,,,,,,,,,,,
3927,frozen smoothie,melons,,,,,,,,,,,,,,,,,,
4942,cookies,honey,,,,,,,,,,,,,,,,,,
2127,herb & pepper,milk,cider,cooking oil,hot dogs,,,,,,,,,,,,,,,
4483,pancakes,,,,,,,,,,,,,,,,,,,
4339,shallot,,,,,,,,,,,,,,,,,,,
4739,burgers,spaghetti,milk,eggs,french fries,cookies,,,,,,,,,,,,,,
2556,tomatoes,,,,,,,,,,,,,,,,,,,
128,pancakes,,,,,,,,,,,,,,,,,,,
5317,mineral water,cooking oil,,,,,,,,,,,,,,,,,,
310,yogurt cake,,,,,,,,,,,,,,,,,,,
2096,cider,eggs,,,,,,,,,,,,,,,,,,
4544,champagne,cookies,,,,,,,,,,,,,,,,,,
2809,herb & pepper,shrimp,tomatoes,ground beef,spaghetti,cake,light cream,cookies,mushroom cream sauce,honey,,,,,,,,,,
2793,grated cheese,ground beef,almonds,yogurt cake,energy drink,fresh bread,green tea,,,,,,,,,,,,,
3270,frozen vegetables,mineral water,muffins,mushroom cream sauce,pancakes,green tea,,,,,,,,,,,,,,
4090,butter,flax seed,green tea,magazines,,,,,,,,,,,,,,,,
936,burgers,milk,cake,cooking oil,french fries,escalope,zucchini,,,,,,,,,,,,,
4423,cookies,,,,,,,,,,,,,,,,,,,
6297,frozen vegetables,french fries,mashed potato,,,,,,,,,,,,,,,,,
7276,chocolate,spaghetti,,,,,,,,,,,,,,,,,,
2170,chicken,cookies,,,,,,,,,,,,,,,,,,
6188,mineral water,eggs,chocolate,,,,,,,,,,,,,,,,,
1956,whole wheat rice,cake,rice,,,,,,,,,,,,,,,,,
4320,turkey,shrimp,tomatoes,meatballs,energy bar,vegetables mix,whole wheat rice,carrots,green tea,,,,,,,,,,,
3248,pancakes,,,,,,,,,,,,,,,,,,,
1237,herb & pepper,spaghetti,cooking oil,toothpaste,,,,,,,,,,,,,,,,
61,energy drink,,,,,,,,,,,,,,,,,,,
6661,frozen vegetables,ground beef,mineral water,french wine,chutney,chicken,eggplant,,,,,,,,,,,,,
7460,frozen vegetables,tomatoes,ground beef,spaghetti,mineral water,fromage blanc,pancakes,whole wheat rice,blueberries,cereals,escalope,mayonnaise,,,,,,,,
6029,french fries,frozen smoothie,escalope,,,,,,,,,,,,,,,,,
3137,pancakes,light mayo,,,,,,,,,,,,,,,,,,
7420,cookies,,,,,,,,,,,,,,,,,,,
4610,burgers,mineral water,milk,,,,,,,,,,,,,,,,,
1934,mineral water,,,,,,,,,,,,,,,,,,,
1063,burgers,ham,chocolate,ground beef,spaghetti,mineral water,bug spray,hot dogs,,,,,,,,,,,,
1359,ground beef,spaghetti,mineral water,milk,eggs,strawberries,toothpaste,,,,,,,,,,,,,
3565,milk,eggs,mint green tea,french fries,cookies,brownies,,,,,,,,,,,,,,
6936,burgers,fresh tuna,eggs,french fries,champagne,,,,,,,,,,,,,,,
4426,clothes accessories,cookies,,,,,,,,,,,,,,,,,,
3738,mineral water,honey,frozen smoothie,cottage cheese,body spray,,,,,,,,,,,,,,,
1376,mineral water,milk,energy bar,barbecue sauce,chocolate,low fat yogurt,,,,,,,,,,,,,,
3854,turkey,red wine,whole wheat pasta,pepper,spaghetti,mineral water,soup,avocado,eggs,body spray,low fat yogurt,,,,,,,,,
1304,turkey,milk,energy bar,whole wheat rice,yogurt cake,light mayo,,,,,,,,,,,,,,
3824,turkey,french fries,low fat yogurt,,,,,,,,,,,,,,,,,
5185,whole wheat pasta,spaghetti,milk,cooking oil,barbecue sauce,frozen smoothie,protein bar,,,,,,,,,,,,,
3447,avocado,milk,butter,chicken,salmon,eggs,chocolate,fresh bread,,,,,,,,,,,,
5379,frozen vegetables,avocado,black tea,whole wheat rice,green tea,,,,,,,,,,,,,,,
2853,burgers,red wine,whole wheat pasta,butter,cereals,french fries,hot dogs,fresh bread,,,,,,,,,,,,
7465,yogurt cake,,,,,,,,,,,,,,,,,,,
2346,eggs,,,,,,,,,,,,,,,,,,,
1186,candy bars,,,,,,,,,,,,,,,,,,,
3173,turkey,avocado,,,,,,,,,,,,,,,,,,
6815,tomatoes,green tea,,,,,,,,,,,,,,,,,,
3482,burgers,butter,light cream,zucchini,,,,,,,,,,,,,,,,
2179,french wine,honey,light mayo,,,,,,,,,,,,,,,,,
5678,tomatoes,,,,,,,,,,,,,,,,,,,
211,whole wheat pasta,olive oil,cereals,brownies,green tea,,,,,,,,,,,,,,,
4611,pepper,vegetables mix,,,,,,,,,,,,,,,,,,
5193,champagne,fresh bread,,,,,,,,,,,,,,,,,,
7246,red wine,parmesan cheese,mineral water,cake,rice,french fries,,,,,,,,,,,,,,
1777,shrimp,mineral water,extra dark chocolate,green tea,,,,,,,,,,,,,,,,
5073,mineral water,milk,escalope,,,,,,,,,,,,,,,,,
6778,soup,eggs,cake,,,,,,,,,,,,,,,,,
6409,olive oil,,,,,,,,,,,,,,,,,,,
7073,cake,,,,,,,,,,,,,,,,,,,
6638,escalope,,,,,,,,,,,,,,,,,,,
6150,burgers,spaghetti,mineral water,butter,salmon,nonfat milk,magazines,mayonnaise,green tea,,,,,,,,,,,
3053,cake,,,,,,,,,,,,,,,,,,,
6203,turkey,eggs,,,,,,,,,,,,,,,,,,
2303,eggs,whole wheat rice,frozen smoothie,low fat yogurt,,,,,,,,,,,,,,,,
690,turkey,burgers,herb & pepper,ground beef,yams,mineral water,avocado,milk,almonds,muffins,eggs,french fries,,,,,,,,
3802,mineral water,extra dark chocolate,brownies,asparagus,low fat yogurt,,,,,,,,,,,,,,,
410,chocolate,frozen smoothie,low fat yogurt,,,,,,,,,,,,,,,,,
2049,spaghetti,french fries,escalope,green tea,,,,,,,,,,,,,,,,
3080,energy bar,,,,,,,,,,,,,,,,,,,
3129,escalope,pasta,mushroom cream sauce,green tea,,,,,,,,,,,,,,,,
3574,chocolate,shrimp,ground beef,spaghetti,whole wheat rice,cake,hot dogs,fresh bread,,,,,,,,,,,,
6873,parmesan cheese,avocado,milk,energy bar,salmon,cookies,,,,,,,,,,,,,,
973,chocolate,grated cheese,herb & pepper,mineral water,soup,olive oil,,,,,,,,,,,,,,
5658,meatballs,green tea,,,,,,,,,,,,,,,,,,
4467,pancakes,,,,,,,,,,,,,,,,,,,
5283,milk,energy bar,vegetables mix,cottage cheese,,,,,,,,,,,,,,,,
2235,herb & pepper,shrimp,mineral water,,,,,,,,,,,,,,,,,
6920,frozen vegetables,,,,,,,,,,,,,,,,,,,
2728,ham,chocolate,whole wheat pasta,milk,olive oil,chicken,bacon,whole wheat rice,cottage cheese,,,,,,,,,,,
3297,french fries,,,,,,,,,,,,,,,,,,,
3102,french fries,yogurt cake,,,,,,,,,,,,,,,,,,
2605,mineral water,avocado,meatballs,,,,,,,,,,,,,,,,,
4221,ham,vegetables mix,frozen smoothie,,,,,,,,,,,,,,,,,
1780,milk,muffins,honey,whole weat flour,green tea,,,,,,,,,,,,,,,
5532,eggs,,,,,,,,,,,,,,,,,,,
6421,burgers,butter,carrots,chocolate,cookies,,,,,,,,,,,,,,,
604,eggs,french fries,energy drink,,,,,,,,,,,,,,,,,
909,butter,mint green tea,,,,,,,,,,,,,,,,,,
681,burgers,grated cheese,spaghetti,nonfat milk,eggs,gums,chocolate,tomato juice,low fat yogurt,,,,,,,,,,,
6608,ground beef,spaghetti,eggplant,green tea,,,,,,,,,,,,,,,,
481,turkey,ground beef,low fat yogurt,,,,,,,,,,,,,,,,,
2433,turkey,ground beef,,,,,,,,,,,,,,,,,,
552,burgers,spaghetti,mineral water,soup,french wine,french fries,light mayo,low fat yogurt,,,,,,,,,,,,
1838,mineral water,french fries,cookies,shallot,low fat yogurt,,,,,,,,,,,,,,,
1721,herb & pepper,parmesan cheese,frozen smoothie,,,,,,,,,,,,,,,,,
5882,pancakes,,,,,,,,,,,,,,,,,,,
3884,frozen vegetables,ground beef,spaghetti,milk,olive oil,eggs,cooking oil,mint green tea,french fries,low fat yogurt,,,,,,,,,,
4682,avocado,black tea,whole wheat rice,cake,french fries,cottage cheese,tomato juice,green tea,,,,,,,,,,,,
3912,burgers,herb & pepper,frozen vegetables,spaghetti,chocolate,milk,butter,flax seed,almonds,bug spray,chili,whole weat flour,low fat yogurt,,,,,,,
261,frozen vegetables,spaghetti,,,,,,,,,,,,,,,,,,
2465,chocolate,fresh bread,honey,,,,,,,,,,,,,,,,,
3034,mineral water,chicken,whole wheat rice,champagne,green tea,,,,,,,,,,,,,,,
5183,burgers,milk,eggs,,,,,,,,,,,,,,,,,
997,herb & pepper,frozen vegetables,mineral water,muffins,cereals,,,,,,,,,,,,,,,
4839,spaghetti,mineral water,chocolate,pancakes,brownies,light mayo,melons,protein bar,,,,,,,,,,,,
79,eggs,cake,french fries,,,,,,,,,,,,,,,,,
2833,carrots,eggplant,french fries,escalope,strawberries,toothpaste,,,,,,,,,,,,,,
6603,milk,cottage cheese,,,,,,,,,,,,,,,,,,
1566,ground beef,spaghetti,olive oil,cookies,pasta,green tea,,,,,,,,,,,,,,
282,mineral water,oil,frozen smoothie,,,,,,,,,,,,,,,,,
3922,red wine,ground beef,spaghetti,mineral water,black tea,mayonnaise,low fat yogurt,,,,,,,,,,,,,
1046,herb & pepper,pancakes,eggs,light cream,light mayo,,,,,,,,,,,,,,,
3746,whole wheat pasta,,,,,,,,,,,,,,,,,,,
593,muffins,chicken,zucchini,,,,,,,,,,,,,,,,,
163,herb & pepper,shrimp,pasta,spaghetti,milk,,,,,,,,,,,,,,,
1003,chocolate,escalope,mushroom cream sauce,low fat yogurt,,,,,,,,,,,,,,,,
1571,french fries,,,,,,,,,,,,,,,,,,,
1784,mineral water,meatballs,olive oil,muffins,whole wheat rice,yogurt cake,light mayo,salt,,,,,,,,,,,,
4946,eggs,frozen smoothie,,,,,,,,,,,,,,,,,,
2056,butter,cooking oil,chocolate,french fries,,,,,,,,,,,,,,,,
6406,escalope,,,,,,,,,,,,,,,,,,,
1810,french fries,,,,,,,,,,,,,,,,,,,
645,mineral water,cake,chocolate,low fat yogurt,candy bars,,,,,,,,,,,,,,,
6748,burgers,shrimp,whole wheat pasta,olive oil,eggs,cookies,energy drink,fresh bread,,,,,,,,,,,,
1112,shrimp,vegetables mix,cookies,mushroom cream sauce,hot dogs,,,,,,,,,,,,,,,
5115,eggs,,,,,,,,,,,,,,,,,,,
6132,spaghetti,mineral water,eggs,light cream,,,,,,,,,,,,,,,,
4586,olive oil,,,,,,,,,,,,,,,,,,,
1036,shrimp,frozen vegetables,mineral water,green tea,,,,,,,,,,,,,,,,
5244,eggs,,,,,,,,,,,,,,,,,,,
5253,green grapes,cooking oil,french fries,green tea,,,,,,,,,,,,,,,,
952,grated cheese,spaghetti,,,,,,,,,,,,,,,,,,
3392,eggs,green tea,,,,,,,,,,,,,,,,,,
3135,turkey,eggs,honey,,,,,,,,,,,,,,,,,
5970,shrimp,tomatoes,spaghetti,eggs,,,,,,,,,,,,,,,,
6074,champagne,,,,,,,,,,,,,,,,,,,
5463,escalope,,,,,,,,,,,,,,,,,,,
4765,herb & pepper,mineral water,cake,light cream,carrots,,,,,,,,,,,,,,,
7394,mineral water,extra dark chocolate,chocolate,low fat yogurt,,,,,,,,,,,,,,,,
4576,chocolate,honey,,,,,,,,,,,,,,,,,,
6800,mineral water,energy drink,,,,,,,,,,,,,,,,,,
3770,gluten free bar,,,,,,,,,,,,,,,,,,,
1967,mineral water,meatballs,milk,,,,,,,,,,,,,,,,,
6217,brownies,,,,,,,,,,,,,,,,,,,
2471,herb & pepper,ground beef,spaghetti,cooking oil,hot dogs,brownies,yogurt cake,cauliflower,low fat yogurt,,,,,,,,,,,
3696,pasta,,,,,,,,,,,,,,,,,,,
81,mineral water,energy bar,butter,french fries,,,,,,,,,,,,,,,,
1,chutney,,,,,,,,,,,,,,,,,,,
1905,mineral water,olive oil,strong cheese,pancakes,clothes accessories,french fries,strawberries,,,,,,,,,,,,,
7012,brownies,,,,,,,,,,,,,,,,,,,
5998,tomatoes,ground beef,spaghetti,mineral water,cooking oil,chocolate,,,,,,,,,,,,,,
612,frozen vegetables,mineral water,eggs,,,,,,,,,,,,,,,,,
1920,spaghetti,honey,cooking oil,cookies,mashed potato,,,,,,,,,,,,,,,
663,shrimp,mineral water,,,,,,,,,,,,,,,,,,
2115,muffins,,,,,,,,,,,,,,,,,,,
5574,frozen vegetables,,,,,,,,,,,,,,,,,,,
2071,burgers,,,,,,,,,,,,,,,,,,,
3192,fresh bread,,,,,,,,,,,,,,,,,,,
6719,mineral water,whole wheat rice,zucchini,,,,,,,,,,,,,,,,,
2947,spaghetti,,,,,,,,,,,,,,,,,,,
6296,burgers,spaghetti,mineral water,olive oil,pancakes,cake,ham,mint green tea,chocolate,french fries,,,,,,,,,,
3827,shrimp,mineral water,,,,,,,,,,,,,,,,,,
299,french fries,cookies,shallot,tomato juice,fresh bread,low fat yogurt,,,,,,,,,,,,,,
6109,hand protein bar,,,,,,,,,,,,,,,,,,,
1617,energy bar,eggs,cottage cheese,green tea,,,,,,,,,,,,,,,,
5191,butter,whole wheat rice,barbecue sauce,green tea,french fries,salt,,,,,,,,,,,,,,
738,frozen vegetables,ground beef,salmon,muffins,chocolate,magazines,,,,,,,,,,,,,,
4685,spaghetti,mineral water,strong cheese,,,,,,,,,,,,,,,,,
3533,turkey,eggs,,,,,,,,,,,,,,,,,,
3042,muffins,,,,,,,,,,,,,,,,,,,
150,mineral water,vegetables mix,cake,frozen smoothie,brownies,,,,,,,,,,,,,,,
7271,fromage blanc,whole wheat rice,,,,,,,,,,,,,,,,,,
7425,low fat yogurt,,,,,,,,,,,,,,,,,,,
6870,turkey,mineral water,milk,nonfat milk,pancakes,,,,,,,,,,,,,,,
6954,shrimp,energy drink,green tea,,,,,,,,,,,,,,,,,
3310,antioxydant juice,chocolate,,,,,,,,,,,,,,,,,,
1573,frozen vegetables,tomatoes,ground beef,spaghetti,avocado,olive oil,almonds,cake,green tea,,,,,,,,,,,
774,eggs,green tea,,,,,,,,,,,,,,,,,,
451,tomatoes,mineral water,eggplant,,,,,,,,,,,,,,,,,
6504,herb & pepper,french fries,low fat yogurt,,,,,,,,,,,,,,,,,
1896,grated cheese,ground beef,pepper,spaghetti,milk,pancakes,,,,,,,,,,,,,,
2642,frozen vegetables,spaghetti,mineral water,soup,meatballs,milk,olive oil,chicken,eggs,cake,,,,,,,,,,
5272,muffins,cookies,,,,,,,,,,,,,,,,,,
1406,ham,shrimp,spaghetti,cookies,,,,,,,,,,,,,,,,
5718,turkey,shrimp,pepper,spaghetti,cookies,pancakes,,,,,,,,,,,,,,
2834,turkey,burgers,yams,flax seed,,,,,,,,,,,,,,,,
5711,grated cheese,herb & pepper,chicken,french fries,,,,,,,,,,,,,,,,
1412,burgers,ground beef,mineral water,chocolate,champagne,,,,,,,,,,,,,,,
21,spaghetti,mineral water,ham,body spray,pancakes,green tea,,,,,,,,,,,,,,
923,ground beef,,,,,,,,,,,,,,,,,,,
391,turkey,eggs,,,,,,,,,,,,,,,,,,
4026,milk,chicken,eggs,pancakes,,,,,,,,,,,,,,,,
3020,turkey,mineral water,salmon,nonfat milk,magazines,mayonnaise,zucchini,green tea,,,,,,,,,,,,
4646,escalope,,,,,,,,,,,,,,,,,,,
